DTYYYYMMDD,HPG,REE,MSN,MBB,VIC,DPM,SBT,CTG,SSI,VCB,GMD,FPT,VNM,STB
20170825,18.63,32.22,46.5,16.06,36.82,19.91,26.27,18.17,22.0,35.58,29.39,34.39,114.97,11.8
20170828,18.9,31.99,47.0,16.13,37.6,19.82,26.64,18.17,22.44,35.87,30.84,34.46,114.81,11.75
20170829,18.93,31.67,45.2,16.06,38.06,19.7,28.5,18.03,22.22,35.44,30.73,34.57,114.2,11.6
20170830,19.15,31.4,46.8,16.23,40.66,19.74,29.54,17.88,22.17,35.44,30.59,34.6,114.58,11.45
20170831,19.26,32.04,47.5,16.61,40.5,20.04,29.23,18.36,22.35,35.53,30.84,35.11,114.89,11.7
20170901,19.29,32.13,48.2,16.4,40.83,20.0,28.91,18.36,22.49,35.87,31.13,35.18,117.29,11.6
20170905,19.45,32.13,47.9,16.33,41.49,20.0,28.18,18.22,22.4,36.54,30.91,35.11,118.14,11.85
20170906,19.78,31.99,48.0,16.33,41.32,19.95,27.54,18.08,22.31,36.4,30.77,34.89,116.91,11.65
20170907,19.51,32.49,50.0,16.23,41.28,19.82,27.91,18.22,22.35,36.11,30.62,34.68,115.74,11.75
20170908,19.75,32.08,53.2,15.92,41.82,19.78,27.77,18.08,22.26,36.11,29.9,34.53,115.43,11.65
20170911,19.4,32.04,53.5,15.71,40.74,19.7,26.36,17.88,22.04,36.11,29.39,34.28,114.89,11.6
20170912,19.48,32.63,55.1,16.09,40.74,19.48,26.73,17.98,22.04,36.44,29.75,34.82,114.66,11.45
20170913,20.27,32.81,56.0,16.09,39.75,19.4,26.36,17.93,22.35,36.44,30.23,35.29,114.74,11.5
20170914,20.16,32.58,56.3,16.16,40.62,19.7,27.14,18.08,22.71,36.68,30.3,35.0,114.81,11.7
20170915,20.33,32.81,56.1,16.02,40.41,19.48,26.36,18.03,22.84,36.4,30.12,34.89,114.58,11.5
20170918,20.69,33.27,56.3,16.09,40.5,19.57,26.64,18.46,23.02,36.01,30.37,35.0,115.36,11.8
20170919,20.88,33.04,55.5,16.02,40.58,19.48,26.36,18.61,23.02,35.82,30.19,35.04,114.89,11.75
20170920,20.82,32.9,53.8,16.06,40.5,19.78,24.54,18.8,22.75,36.2,30.19,35.22,115.28,11.7
20170921,20.6,32.9,51.2,16.2,40.58,19.61,24.82,19.09,22.62,36.25,30.26,35.76,114.58,11.6
20170922,20.71,33.04,52.0,16.06,40.58,19.61,25.04,18.85,22.75,36.06,30.12,35.8,114.35,11.55
20170925,20.6,32.76,54.5,16.02,40.5,19.48,24.0,18.7,22.66,35.92,30.48,35.36,114.58,12.3
20170926,20.55,32.4,55.9,15.92,40.83,19.4,24.04,18.75,22.66,36.06,32.22,35.47,114.66,12.5
20170927,20.71,32.04,54.9,15.88,42.23,19.44,24.82,18.8,22.66,36.11,31.35,35.47,114.58,12.25
20170928,20.74,31.58,55.7,15.78,41.98,19.61,24.54,18.5,22.31,36.45,31.02,35.44,115.36,12.6
20170929,21.37,31.99,55.1,16.13,42.31,19.48,23.64,18.5,22.35,36.79,31.67,35.29,115.51,12.5
20171002,21.46,31.67,55.3,16.02,42.15,19.57,23.04,18.45,22.31,36.84,32.22,34.89,114.97,12.3
20171003,21.32,31.35,54.9,15.98,42.23,19.57,22.18,18.4,22.22,36.79,31.78,34.64,114.51,12.15
20171004,21.79,31.53,55.0,16.61,42.98,19.52,22.59,18.8,22.4,37.97,31.71,34.78,114.97,12.2
20171005,21.32,31.58,57.7,16.39,43.55,19.48,22.95,18.9,22.8,37.87,31.13,34.97,115.36,12.1
20171006,21.35,31.49,57.1,17.13,43.47,19.44,22.27,19.1,22.8,38.21,31.49,35.29,115.36,12.3
20171009,21.68,31.72,57.2,17.2,42.98,19.52,22.45,19.2,22.98,38.56,31.93,35.33,115.28,12.45
20171010,21.81,31.76,57.2,17.32,43.14,19.44,22.32,19.1,22.8,38.8,31.85,35.69,114.97,12.45
20171011,21.73,31.72,55.6,17.28,45.37,19.44,22.27,18.9,22.94,38.51,31.89,36.12,114.97,11.65
20171012,21.7,31.44,57.3,17.13,45.45,19.35,21.64,18.85,22.61,38.21,32.04,36.92,114.58,11.6
20171013,21.4,31.35,58.2,17.32,46.28,19.27,21.95,19.0,22.61,38.51,31.85,37.07,115.67,11.5
20171016,20.88,31.49,57.3,17.13,45.12,19.18,21.73,19.15,22.66,38.21,31.35,37.21,115.05,11.6
20171017,21.43,31.99,56.2,17.39,45.7,19.1,21.41,19.4,23.03,40.12,32.07,37.28,115.43,11.45
20171018,21.1,31.81,56.7,17.13,45.37,18.84,21.14,19.5,23.08,39.83,31.49,36.56,115.36,11.4
20171019,20.77,31.67,56.0,16.76,45.45,18.88,20.64,19.5,22.75,39.63,31.28,36.63,115.2,11.5
20171020,20.58,31.44,56.5,16.68,45.7,18.88,19.54,19.45,22.57,39.93,30.55,36.41,114.97,11.55
20171023,20.38,30.71,56.0,16.46,45.79,18.8,19.09,18.95,21.92,39.04,30.12,35.69,114.58,11.3
20171024,20.6,30.53,56.0,16.57,45.87,18.67,19.45,18.85,21.68,39.14,30.19,35.69,115.36,11.3
20171025,20.52,30.71,56.5,16.83,45.7,18.54,20.77,19.1,21.73,39.88,30.26,35.98,116.52,11.3
20171026,20.33,30.53,57.2,16.68,45.7,18.24,20.45,18.8,21.54,39.73,29.83,35.91,117.52,11.35
20171027,20.71,31.9,58.5,17.06,47.11,18.37,19.77,19.1,21.54,41.1,30.04,36.34,117.99,11.35
20171030,20.22,31.4,60.0,16.76,47.93,18.28,19.09,18.95,21.22,41.0,29.43,36.2,117.6,11.25
20171031,20.33,31.17,59.5,16.76,48.35,18.24,18.82,18.75,20.99,40.51,29.32,36.49,116.91,11.0
20171101,19.62,30.71,60.0,16.8,48.43,17.9,19.0,18.8,20.62,40.71,28.96,36.78,120.0,11.2
20171102,19.12,29.16,60.1,16.65,49.59,17.9,19.27,18.5,20.94,40.22,27.51,36.56,120.7,11.3
20171103,19.89,29.8,60.2,16.8,49.75,17.64,19.04,18.75,21.17,41.0,28.23,36.92,120.16,11.1
20171106,20.27,30.3,60.2,16.98,50.0,17.34,18.14,19.4,21.45,41.59,28.23,37.21,122.32,11.2
20171107,20.27,30.08,59.9,17.24,51.24,17.25,18.68,19.5,21.36,41.54,28.6,37.07,122.17,11.2
20171108,20.36,30.08,59.9,17.65,54.13,17.47,18.64,19.9,21.4,42.67,28.63,38.37,124.03,11.2
20171109,20.36,30.9,59.4,17.43,56.69,17.64,18.23,19.7,21.68,42.18,28.09,38.08,125.81,11.15
20171110,20.47,30.9,59.5,17.46,54.55,17.68,19.5,20.4,21.64,42.18,28.52,37.79,134.56,11.4
20171113,20.14,30.53,59.0,17.09,56.69,17.81,19.64,20.4,22.33,42.47,28.23,39.09,142.84,11.2
20171114,20.55,30.81,58.0,17.13,56.69,17.55,19.68,20.9,22.57,42.86,29.18,39.02,139.36,11.15
20171115,21.29,31.35,56.5,16.98,57.02,17.64,19.32,20.8,22.52,42.67,30.19,41.19,140.75,11.45
20171116,21.24,32.13,59.0,17.28,57.77,18.2,19.45,21.0,22.84,43.74,30.66,41.26,141.83,12.0
20171117,20.99,31.72,58.0,17.5,59.01,17.98,19.41,20.6,22.75,43.45,30.04,41.05,141.83,11.75
20171120,20.55,31.72,59.1,17.61,63.06,18.03,19.45,20.8,22.84,44.03,29.97,41.92,144.78,11.85
20171121,20.63,32.26,62.4,17.8,63.64,17.81,19.54,21.2,23.31,45.7,29.68,41.41,146.33,11.85
20171122,21.04,32.99,64.0,17.95,62.81,18.15,19.23,22.65,23.63,46.97,29.54,41.99,143.15,12.4
20171123,20.99,32.99,64.0,18.32,63.22,18.11,18.45,23.7,23.68,46.87,29.9,41.7,143.15,12.35
20171124,21.48,35.27,64.3,18.35,61.57,17.98,18.64,23.4,23.68,46.38,31.02,41.92,143.23,12.4
20171127,21.57,35.23,68.0,18.09,62.81,18.11,18.59,23.4,24.14,46.87,30.8,42.13,143.23,12.55
20171128,21.65,35.54,70.0,17.98,62.98,17.94,18.23,23.1,24.14,47.17,30.88,41.63,143.23,12.6
20171129,21.59,36.82,70.0,18.54,62.98,18.15,19.18,24.1,24.7,47.95,31.06,42.93,143.23,13.2
20171130,22.64,36.27,67.1,18.98,61.57,18.41,18.36,24.3,24.98,47.46,30.99,42.28,144.54,13.1
20171201,22.8,36.96,68.5,18.91,61.65,18.5,18.36,24.05,25.58,47.26,30.88,42.28,151.74,13.0
20171204,23.08,37.37,69.0,19.17,62.89,18.5,18.68,24.25,27.02,48.34,31.75,42.57,157.16,13.7
20171205,22.86,35.82,68.9,18.46,60.33,18.5,19.86,23.5,26.19,47.07,30.84,41.48,154.07,13.0
20171206,23.21,35.64,67.7,18.46,60.33,18.28,20.0,23.5,25.95,46.97,30.91,41.12,150.97,13.25
20171207,23.05,34.72,69.0,18.32,59.5,18.07,19.91,23.3,25.17,46.58,30.8,40.61,144.0,13.0
20171208,22.64,34.95,71.9,18.46,60.33,18.24,19.36,23.0,25.26,46.04,30.84,40.18,145.63,12.95
20171211,22.09,35.0,72.0,17.8,59.5,18.07,18.64,21.4,23.96,43.64,29.9,38.73,147.87,12.3
20171212,21.81,35.0,72.2,17.8,58.84,17.98,18.86,21.4,24.56,43.74,29.1,38.88,150.58,12.45
20171213,22.14,35.91,71.6,17.24,59.5,18.24,18.95,20.85,24.33,43.06,28.67,39.6,150.82,12.0
20171214,22.34,36.91,73.1,17.8,59.5,18.24,19.04,22.0,24.75,44.33,29.32,40.47,155.62,12.5
20171215,22.91,37.37,71.7,17.98,58.02,18.37,19.18,21.9,25.17,45.01,29.43,40.9,152.52,12.7
20171218,23.63,37.23,75.5,18.32,61.16,18.84,19.36,22.5,25.54,46.77,29.9,40.76,158.71,12.75
20171219,23.96,38.92,76.0,18.2,60.74,19.27,19.18,22.05,25.86,46.73,29.21,39.96,157.16,12.55
20171220,24.18,38.73,76.1,18.46,60.74,18.88,18.77,22.45,26.0,47.95,29.14,40.76,156.39,12.55
20171221,24.23,38.01,73.2,18.5,60.33,19.02,18.64,22.1,25.63,47.46,28.96,40.83,157.86,12.3
20171222,24.37,37.18,73.9,18.72,62.48,18.88,18.64,22.3,25.58,49.71,28.67,41.34,157.09,12.55
20171225,24.09,36.68,74.2,18.54,64.46,18.39,18.36,22.2,25.86,50.3,28.31,41.7,154.84,12.35
20171226,24.12,37.91,75.5,18.54,64.46,18.34,18.59,23.15,26.0,50.3,29.14,41.34,157.09,12.6
20171227,24.95,37.18,75.0,18.61,63.8,18.48,18.68,23.3,25.72,51.37,28.74,41.05,158.71,12.85
20171228,25.16,37.28,75.7,19.02,63.97,19.02,18.54,24.25,26.6,52.94,28.89,41.41,160.04,12.95
20171229,25.74,37.82,76.7,18.84,63.88,19.29,18.91,24.2,26.74,53.14,29.07,41.34,162.69,12.85
20180102,26.21,39.37,80.0,19.69,64.63,19.42,18.54,24.95,27.02,53.82,29.9,43.29,164.96,13.4
20180103,26.15,39.28,82.5,19.5,66.53,19.91,18.82,24.8,28.04,53.72,30.7,43.29,166.83,13.35
20180104,26.48,39.37,82.5,19.54,66.94,19.96,19.32,25.7,27.95,54.21,30.7,44.16,167.53,13.6
20180105,26.37,38.73,84.7,19.39,66.12,19.55,19.54,25.1,26.84,52.84,30.84,43.44,166.52,13.6
20180108,27.2,39.01,88.8,20.36,66.36,19.51,20.82,25.7,27.39,54.21,31.85,44.09,163.79,14.55
20180109,29.07,39.65,90.0,20.54,66.61,19.64,21.0,25.7,27.67,57.25,32.29,44.96,161.45,14.85
20180110,28.41,39.92,87.0,20.58,66.78,20.0,21.64,25.5,28.18,56.76,32.58,44.52,164.57,15.6
20180111,28.41,39.65,90.0,20.87,66.94,19.82,22.14,25.65,28.14,57.54,33.37,44.52,163.79,16.25
20180112,28.63,38.73,93.0,20.39,70.58,19.51,21.14,25.6,29.07,56.76,32.94,43.58,163.71,15.5
20180115,30.0,38.78,92.8,20.99,72.07,19.91,20.64,26.1,29.67,58.71,32.9,44.16,162.62,15.35
20180116,30.77,38.78,92.4,21.17,71.07,20.72,21.0,26.6,29.58,58.71,32.9,44.16,162.46,14.95
20180117,29.45,37.37,90.2,20.76,69.42,20.36,19.95,25.2,28.32,54.99,31.49,42.71,156.85,14.3
20180118,30.77,37.73,92.0,21.21,69.75,20.72,21.18,25.5,29.25,57.25,31.78,42.71,160.35,15.0
20180119,32.8,37.37,87.5,21.06,69.42,20.54,21.18,25.3,30.18,59.69,32.07,42.64,160.35,15.45
20180122,34.95,38.1,92.5,21.21,70.25,20.72,20.64,25.75,31.76,61.94,32.0,44.09,165.03,15.1
20180125,33.79,38.32,97.2,22.5,70.33,21.98,20.36,26.75,32.87,66.25,31.64,44.23,161.45,15.4
20180126,35.11,38.1,97.5,23.86,70.66,22.96,19.95,27.3,32.78,67.62,31.13,44.02,165.19,15.7
20180129,33.79,37.73,94.5,25.07,70.66,23.32,18.77,28.3,33.99,66.54,30.26,43.65,161.06,16.75
20180130,33.68,37.82,90.8,24.85,70.25,23.41,18.5,28.05,33.89,65.56,31.85,46.33,159.5,17.1
20180131,34.23,38.87,92.1,24.16,71.07,21.89,18.59,27.2,31.67,65.17,31.78,45.54,158.72,16.25
20180201,33.52,38.87,92.1,23.25,71.57,21.48,18.5,27.25,32.08,65.17,30.91,44.59,158.33,15.7
20180202,33.57,38.92,91.0,23.48,72.07,22.34,18.91,28.0,32.59,65.95,30.48,44.16,161.45,16.25
20180205,31.32,36.23,84.7,21.97,67.02,20.99,17.59,26.05,30.32,61.36,30.04,41.34,158.41,15.15
20180206,31.87,34.18,86.0,21.06,67.02,20.99,16.36,24.35,28.97,60.67,28.23,39.24,154.35,15.4
20180207,32.69,34.91,83.0,22.12,66.94,21.08,15.54,25.75,30.64,62.14,28.92,40.97,156.22,15.75
20180208,32.8,34.18,85.0,21.44,65.29,20.18,15.91,24.5,29.34,61.55,28.09,39.96,153.73,14.9
20180209,32.03,33.9,82.2,21.89,64.63,19.46,15.64,24.5,29.34,59.59,28.23,39.82,148.97,14.95
20180212,32.31,35.09,85.0,23.41,69.09,19.69,16.27,26.2,31.2,62.14,28.92,41.34,149.75,15.9
20180213,33.3,36.18,85.6,23.86,71.16,19.46,16.23,27.2,31.71,62.63,29.68,42.71,150.92,15.9
20180221,32.97,36.18,89.5,24.01,74.38,20.63,16.32,27.85,32.59,64.78,30.37,43.0,158.48,16.3
20180222,32.36,35.59,88.0,23.9,74.79,21.35,16.68,28.65,31.94,65.37,29.68,42.28,156.77,16.1
20180223,33.85,36.27,89.8,25.0,75.7,21.39,16.91,30.4,32.69,69.87,30.99,43.8,157.55,16.45
20180226,35.38,36.46,89.9,24.66,78.51,21.17,16.64,30.7,32.55,70.36,31.49,43.73,155.99,16.05
20180227,35.22,36.41,91.4,24.85,77.27,21.44,16.45,32.1,32.78,71.63,31.2,43.29,155.99,16.15
20180228,36.26,36.55,89.2,26.06,78.43,21.08,16.27,33.6,34.27,72.22,30.12,43.29,152.87,16.1
20180301,36.65,35.7,91.0,25.68,77.69,20.23,16.45,32.7,35.1,69.97,30.77,44.02,152.87,15.75
20180302,36.43,35.41,91.5,25.91,78.1,20.27,16.41,32.7,35.29,70.26,31.85,44.23,155.44,15.7
20180305,33.9,35.79,91.0,24.62,77.69,19.91,16.18,30.5,32.83,66.54,31.28,44.52,157.86,14.95
20180306,35.11,36.17,90.5,25.75,81.4,20.45,16.36,32.3,35.1,69.67,31.49,45.82,157.55,15.3
20180307,33.57,35.6,91.4,25.0,81.49,20.45,16.27,31.5,35.47,68.11,30.99,45.03,160.74,15.05
20180308,33.96,35.89,94.0,25.03,85.29,20.86,16.14,31.7,35.43,68.01,30.77,45.03,163.01,15.2
20180309,33.79,36.65,94.1,25.38,85.54,20.45,16.14,32.4,36.03,69.48,29.43,44.59,162.23,15.4
20180312,34.07,37.88,95.2,25.6,82.64,20.18,15.45,33.45,35.66,70.46,28.99,44.45,160.67,15.95
20180313,33.79,37.88,95.0,26.28,84.79,20.23,16.5,35.7,36.68,70.46,28.09,43.51,163.79,16.1
20180314,33.96,38.74,94.0,26.36,84.71,21.03,17.54,35.55,36.4,72.22,28.63,44.02,166.13,16.05
20180315,33.3,39.02,93.0,27.23,82.23,20.77,17.59,36.6,36.45,72.22,28.09,43.87,163.94,16.15
20180316,33.08,38.17,92.0,27.27,82.4,20.81,16.73,36.7,38.07,73.1,27.74,43.51,166.91,16.3
20180319,34.67,37.41,94.3,27.19,86.28,20.45,16.27,36.3,38.07,72.71,27.2,43.8,165.35,16.05
20180320,33.79,37.31,100.5,27.57,86.12,20.18,16.82,36.0,38.12,72.41,27.02,44.38,163.01,16.0
20180321,34.62,37.03,102.4,27.88,89.26,20.45,16.86,36.2,38.03,71.92,27.69,44.16,163.01,16.25
20180322,34.51,36.74,103.6,27.27,89.26,20.5,16.54,35.8,37.42,70.46,27.38,43.51,163.01,16.0
20180323,33.74,35.79,102.0,26.89,90.5,20.5,15.82,34.95,36.77,68.4,27.2,42.42,161.45,15.75
20180326,32.36,35.79,109.1,27.12,94.05,20.09,16.0,35.8,37.33,70.36,26.76,42.86,162.62,15.65
20180327,32.64,36.08,109.0,27.12,93.39,19.82,15.82,35.8,37.14,69.48,27.38,43.07,166.13,15.5
20180328,32.91,36.65,110.4,26.81,94.63,19.73,15.77,35.2,36.68,68.99,27.83,42.64,164.57,15.35
20180329,33.41,35.89,109.5,26.66,95.04,19.69,15.54,35.0,36.22,69.48,27.51,43.07,161.45,15.25
20180330,33.19,35.79,113.5,26.28,96.86,19.73,16.0,34.6,36.22,68.99,27.42,43.94,158.33,15.5
20180402,32.42,36.27,114.6,27.12,101.65,19.51,15.82,36.2,37.89,72.41,26.76,44.52,155.75,15.8
20180403,32.14,37.5,113.0,27.8,101.07,19.15,15.86,36.3,39.19,72.71,27.07,44.3,151.07,15.7
20180404,32.42,37.31,110.0,27.65,105.37,19.11,15.86,35.9,38.91,71.92,26.8,44.67,155.99,15.6
20180405,32.31,37.17,109.5,27.8,108.26,19.11,15.91,35.6,38.91,71.92,26.76,45.61,153.88,15.7
20180406,33.19,37.45,106.8,27.72,109.42,19.06,16.41,35.7,38.91,71.92,27.11,45.39,154.58,16.1
20180409,33.41,37.36,107.0,27.88,111.49,19.11,16.41,37.7,41.14,72.22,27.07,45.9,154.27,16.4
20180410,33.41,37.88,105.0,27.69,108.26,19.46,16.14,37.3,40.39,72.9,26.76,46.62,153.65,16.2
20180411,33.24,36.55,98.0,26.66,104.13,19.11,15.59,35.7,38.82,69.67,26.04,45.61,152.87,15.65
20180412,33.9,36.65,102.0,26.36,104.96,19.2,15.73,35.7,39.0,69.38,25.64,46.04,153.1,15.6
20180413,33.63,36.22,102.5,25.07,105.45,18.75,16.04,34.2,38.35,66.44,26.04,44.88,152.63,15.45
20180416,33.02,35.6,104.3,25.45,106.36,18.57,16.36,34.0,38.44,64.49,26.09,44.23,148.19,15.5
20180417,32.8,36.17,104.0,26.13,107.44,18.39,16.95,34.8,39.0,65.56,26.04,44.88,143.9,15.8
20180418,32.42,36.08,100.0,25.49,107.36,18.07,16.54,33.55,38.54,63.41,26.13,44.88,146.24,15.5
20180419,31.32,35.32,93.0,24.16,99.92,17.9,16.32,31.6,37.7,59.69,25.51,43.94,146.24,15.0
20180420,32.31,35.7,96.2,24.88,101.65,18.03,16.82,33.5,39.0,62.63,25.55,44.38,145.07,15.45
20180423,30.55,34.27,95.0,23.18,101.82,17.04,16.18,31.2,36.31,58.32,24.7,41.99,142.26,14.4
20180424,30.77,34.18,95.8,23.14,104.96,17.18,16.18,30.35,34.73,58.71,24.39,40.83,140.39,14.15
20180426,29.4,32.8,89.2,21.59,104.96,17.13,15.86,28.25,32.32,56.95,23.19,39.82,141.17,13.35
20180427,29.56,34.08,91.8,22.65,104.13,17.13,16.45,29.3,33.43,58.71,23.63,41.26,144.29,13.85
20180502,29.89,33.99,93.4,22.19,103.31,16.68,16.73,27.25,32.32,56.95,23.99,41.26,143.9,13.3
20180503,29.84,34.08,92.0,22.91,101.65,16.28,16.77,29.0,32.5,58.32,23.9,41.99,144.29,13.7
20180504,29.67,33.8,91.5,23.25,102.89,16.42,16.59,28.5,31.8,57.73,23.77,42.57,143.51,13.45
20180507,30.77,34.61,96.5,24.39,102.98,16.59,16.5,30.45,33.8,60.77,23.81,43.15,148.19,13.95
20180508,31.32,34.56,97.0,23.86,102.4,16.59,15.91,30.4,33.24,59.69,24.53,42.71,144.37,13.65
20180509,31.32,34.27,95.0,23.63,101.57,16.77,15.91,30.0,33.24,58.22,24.08,42.28,144.29,13.5
20180510,30.33,33.7,94.0,22.38,99.59,17.13,15.68,28.0,31.85,55.29,23.5,42.21,140.39,12.9
20180511,30.6,33.94,93.9,23.14,102.48,17.22,16.27,29.4,32.13,56.66,23.77,43.07,138.83,13.1
20180514,30.66,34.46,98.0,23.48,109.09,17.4,16.36,29.5,32.5,57.05,24.21,44.59,138.83,13.1
20180515,30.44,34.94,96.2,23.48,109.09,17.85,16.0,29.85,32.97,57.44,24.53,44.45,137.27,13.1
20180516,29.67,34.37,92.9,22.95,107.44,17.31,15.64,29.1,32.04,55.78,25.15,43.8,131.89,13.05
20180517,29.12,34.37,87.0,22.65,101.65,17.31,15.64,29.2,31.2,55.58,24.88,43.87,128.69,12.75
20180518,29.62,34.37,92.5,22.95,101.65,17.04,15.86,29.45,30.64,55.29,24.88,44.02,133.45,12.75
20180521,29.23,33.99,89.0,22.42,94.55,16.95,15.77,28.8,29.72,54.51,24.26,44.16,129.47,12.6
20180522,27.75,32.28,85.0,21.82,87.93,16.68,15.36,27.1,27.9,52.25,23.41,43.22,126.35,12.0
20180523,28.41,32.47,85.0,22.19,85.12,16.46,15.45,28.0,28.97,53.33,23.63,43.87,130.48,12.15
20180524,28.79,31.61,84.5,22.16,86.03,15.7,14.91,27.35,28.28,52.16,23.37,43.07,131.03,12.05
20180525,28.63,30.86,83.5,21.36,88.43,15.34,13.91,26.15,27.39,48.93,22.74,41.76,129.47,11.65
20180528,26.76,29.24,80.0,19.92,91.74,14.8,12.95,24.35,25.54,45.8,21.23,38.86,128.69,10.85
20180529,28.57,30.95,80.0,21.29,90.91,14.8,13.0,26.05,27.3,48.93,22.56,40.48,131.5,11.6
20180530,29.01,30.38,80.0,20.87,91.74,14.8,13.04,25.65,27.81,50.88,22.47,38.82,129.08,11.5
20180531,30.82,31.28,81.0,22.04,95.87,14.89,13.41,27.1,29.72,52.94,22.79,39.29,128.07,11.75
20180601,31.32,31.43,83.9,22.16,98.35,15.16,13.64,27.45,30.04,55.78,23.19,39.67,131.19,11.75
20180604,32.97,32.18,84.2,23.07,99.17,15.79,14.36,27.95,31.02,58.03,24.39,40.35,136.49,12.55
20180605,32.42,32.56,85.4,23.07,100.08,16.24,14.32,28.4,31.11,57.34,24.97,40.82,139.24,12.9
20180606,33.41,33.18,85.5,23.14,102.56,16.1,14.18,28.95,31.48,57.83,26.22,41.42,137.66,13.3
20180607,34.01,32.56,87.3,23.41,102.64,17.04,14.45,28.35,30.97,57.44,25.86,40.82,139.47,13.0
20180608,33.68,32.56,86.0,23.29,102.64,17.09,14.45,28.55,31.57,58.42,25.69,40.95,139.24,12.9
20180611,33.3,32.28,85.0,22.95,102.73,17.09,14.36,28.05,31.62,57.73,24.88,40.57,141.67,12.6
20180612,32.69,31.71,82.4,22.31,102.81,16.55,13.73,27.4,31.2,56.76,24.35,39.54,142.38,12.8
20180613,33.38,31.8,83.5,22.35,105.79,16.55,13.45,27.45,31.53,58.62,24.75,39.97,142.38,12.8
